Career,RIASEC_Code
FASHION DESIGNER,AER
PHOTOGRAPHER,AER
ACTOR,AES
ASSISTANT HAIR STYLIST,AES
BARTENDER/MIXOLOGIST,AES
MARKETING MANAGER,AES
MODEL,AES
SOMMELIER,AES
JUTE HANDLOOM WEAVER,AIC
ANIMATOR,AIE
ART DIRECTOR,AIE
ARTIST,AIE
BLOGGER,AIE
CAKE ARTIST,AIE
CALLIGRAPHER,AIE
CARTOONIST,AIE
CHEF,AIE
CHOCOLATIER,AIE
CHOREOGRAPHER,AIE
CINEMATOGRAPHER,AIE
COFFEE TASTER/BARRISTA/Q GRADER,AIE
CONSTRUCTION PAINTER AND DECORATOR,AIE
DANCER,AIE
DISC JOCKEY,AIE
DUBBING ARTIST OR VOICE ACTOR,AIE
FILM DIRECTOR,AIE
HOMECOOK,AIE
ILLUSTRATOR,AIE
MASTER HAND EMBROIDERER (HAND CRAFTED TEXTILES),AIE
PASTRY CHEF,AIE
RADIO JOCKEY (RJ),AIE
SCULPTOR,AIE
SINGER,AIE
STRINGING/BEADING ARTIST (FASHION JEWELLERY),AIE
TATTOO ARTIST,AIE
TEA TASTER,AIE
THEATRE ARTIST,AIE
TRAINEE CHEF/ASSISTANT COOK,AIE
VISUAL EFFECTS (VFX) EDITOR,AIE
CERAMICS/GLASS DESIGNER,AIR
ELECTRONICS DESIGNER/VLSI/EMBEDDED SYSTEM DESIGNER,AIR
FILM/VIDEO DESIGNER,AIR
FOOTWEAR DESIGNER,AIR
GAME DESIGNER AND DEVELOPER,AIR
GRAPHICS DESIGNER,AIR
INDUSTRIAL DESIGNER,AIR
MULTIMEDIA DESIGNER,AIR
PRODUCT DESIGNER,AIR
SOUND RECORDIST,AIR
TEXTILE DESIGNER,AIR
TOY DESIGNER,AIR
USER EXPERIENCE DESIGNER,AIR
VISUAL COMMUNICATION DESIGNER,AIR
WEB DESIGNER,AIR
ART HISTORIAN,AIS
CAMERAPERSON,AIS
COMMUNITY JOURNALIST,AIS
CONTENT WRITER,AIS
COPY EDITOR,AIS
COPY WRITER,AIS
CREATIVE WRITER,AIS
CURATOR,AIS
EDITOR,AIS
EDITORIAL ASSISTANT,AIS
ENGLISH LITERATURE SCHOLAR,AIS
HISTORIAN,AIS
INTERPRETER,AIS
JOURNALIST,AIS
LEXICOGRAPHER,AIS
LINGUIST,AIS
MUSICIAN,AIS
PHOTOJOURNALIST,AIS
PROOFREADER,AIS
SCREENWRITER,AIS
SCRIPTWRITER,AIS
TECHNICAL WRITER,AIS
TRANSLATOR,AIS
TRANSLATOR,AIS
APPLIQUE ARTISAN,ARC
BAMBOO UTILITY PRODUCT TAILOR,ARC
CROCHET LACEMAKER – FURNISHINGS,ARC
INSPECTOR OF INCOME TAX,CES
COMPUTER SCIENTIST,CIR
AIRLINE CARGO ASSISTANT,CSE
BANK CLERK,CSE
CHARTERED ACCOUNTANT,CSE
COMPANY SECRETARY,CSE
COMPLIANCE OFFICER,CSE
CONTRACT ADMINISTRATOR,CSE
COST AND WORKS ACCOUNTANT,CSE
FINANCIAL ACCOUNTANT,CSE
GRAMIN DAK SEVAK,CSE
INDIAN RAILWAY ACCOUNTS SERVICE,CSE
INDIAN RAILWAY PERSONNEL SERVICE,CSE
INDIAN RAILWAY STORES SERVICE (IRSS),CSE
INDIAN REVENUE SERVICE,CSE
LIBRARIAN,CSE
MICROFINANCE EXECUTIVE,CSE
MULTI-TASKING STAFF,CSE
OFFICE ADMINISTRATOR,CSE
SECRETARY/PERSONAL ASSISTANT,CSE
STOREKEEPER – CONSTRUCTION,CSE
TAX AUDITOR,CSE
ANCHOR,EAS
ART DEALER,EAS
AUCTIONEER,EAS
DAIRY FARMER/ENTREPRENEUR,EAS
SELF-EMPLOYED E-TAILER,EAS
TOUR OPERATOR,EAS
TOUR OPERATOR,EAS
TRAVEL CONSULTANT,EAS
COLD CHAIN PROCESS MANAGEMENT SPECIALIST,ECR
ASSISTANT CATERING MANAGER,ECS
BANK MANAGER/BRANCH MANAGER,ECS
BANK PROBATIONARY OFFICER,ECS
BRAND MANAGER,ECS
BUSINESS DEVELOPMENT COORDINATOR,ECS
COMMISSIONING EDITOR,ECS
CUSTOMS OFFICER,ECS
DIGITAL MARKETING EXPERT,ECS
DISTRIBUTION MANAGER,ECS
DISTRIBUTOR SALES REPRESENTATIVE,ECS
EVENT MANAGER,ECS
FINANCE MANAGER,ECS
FOOD AND BEVERAGE MANAGER,ECS
HEALTHCARE MANAGER,ECS
HUMAN RESOURCE MANAGER,ECS
INDIAN ADMINISTRATIVE SERVICE,ECS
